ORDREF,RName,RAdd1,RAdd2,RPostCode,RCity,RState,RCountry,RContactName,RContactNumber,RContactEmail,QTY,COD,CommodityDesc,CommodityValue,PackingType
Ord00001,James,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,47400,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,2,0,Gift Box,10,PAR
Ord00002,John,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00003,John,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00004,John,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00005,John,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00006,John,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00007,Kong,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00008,Another Name1,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00009,Another Name2,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00010,Another Name3,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00011,Another Name4,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00012,Another Name5,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00013,Another Name6,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,
Ord00014,Another Name7,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00015,Another Name8,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00016,Another Name9,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00017,Another Name10,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00018,Another Name11,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
Ord00019,Another Name12,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me@gmail.com,1,0,Gift Box,10,PAR
Ord00020,Another Name13,"No1A, Jalan Permatang 22, Taman Desa Jaya",Industrial Park,81000,JOHOR BAHRU,JOHOR,Malaysia,,192676802,me2@gmai.com,1,0,Gift Box,10,PAR
